freq,unit,direct,na_item,geo,time,Value
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2013,18014.49
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2014,18284.41
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2015,18565.44
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2016,18953.18
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2017,19489.53
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2018,20206.89
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2019,21304.37
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020,22096.16
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021,22772.49
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022,24457.52
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023,26953.02
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024,27580.43
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2013,32197.92
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2014,32863.16
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2015,33381.94
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2016,33835.99
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2017,34707.66
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2018,35730.43
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2019,37323.03
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2020,38379.28
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2021,39774.65
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2022,43044.71
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2023,47414.79
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2024,49092.64
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2013,14635.42
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2014,15014.57
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2015,15189.89
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2016,15277.52
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2017,15698.23
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2018,16194.1
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2019,16860.24
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2020,17321.65
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2021,17982.56
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2022,19374.94
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2023,21132.15
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2024,21979.74
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2013,27261.73
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2014,27868.37
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2015,28266.17
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2016,28639.92
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2017,29452.34
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2018,30381.16
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2019,31646.95
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2020,32475.4
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2021,33746.91
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2022,36700.77
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2023,40475.97
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2024,41695.48
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2013,22004.02
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2014,22440.73
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2015,22739.05
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2016,22958.16
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2017,23620.12
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2018,24285.7
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2019,25292.93
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2020,25896.92
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2021,26951.92
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2022,29223.49
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2023,32308.69
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2024,33179.15
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2013,21715.42
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2014,22156.18
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2015,22436.54
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2016,22505.03
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2017,23148.15
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2018,23913.44
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2019,24782.62
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2020,25337.26
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2021,26222.86
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2022,28846.82
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2023,31964.35
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2024,32920.78
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2013,7534.86
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2014,7671.15
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2015,7671.85
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2016,7758.46
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2017,7976.76
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2018,8328.32
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2019,8654.38
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2020,8949.68
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2021,9346.54
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2022,9987.9
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2023,10819.97
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2024,11156.64
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2013,20370.25
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2014,20536.73
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2015,20564.36
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2016,20685.2
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2017,21237.89
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2018,21808.44
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2019,22677.67
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2020,23476.35
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2021,24034.8
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2022,25670.33
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2023,27607.49
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2024,28500.9
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2013,17203.06
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2014,17468.43
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2015,17580.01
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2016,17778.41
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2017,18193.79
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2018,18666.56
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2019,19454.96
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2020,20044.18
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2021,20698.58
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2022,22166.24
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2023,24012.09
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2024,24752.82
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2013,4491.08
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2014,4589.9
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2015,4699.02
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2016,4725.39
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2017,4927.93
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2018,5060.05
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2019,5291.71
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2020,5534.4
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2021,5751.19
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2022,6290.02
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2023,6802.32
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2024,7064.56
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Namur,2013,7830.7
