Time frequency,Unit of measure,Sex,Geopolitical entity (reporting),Time,Value,Ranking
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),2004,4365.1,21.0
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),2005,4701.4,20.0
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),2006,4932.0,18.0
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),2007,5074.9,16.0
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),2008,5203.6,14.0
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),2009,5224.8,13.0
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),2010,5267.7,12.0
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),2011,4720.3,19.0
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),2012,4937.8,17.0
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),2013,5128.5,15.0
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),2014,5311.7,11.0
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),2015,5481.6,10.0
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),2016,5745.8,9.0
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),2017,5952.3,8.0
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),2018,6274.5,7.0
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),2019,6487.1,6.0
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),2020,6892.2,5.0
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),2021,7245.2,4.0
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),2022,7628.9,3.0
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),2023,7903.6,2.0
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),2024,8273.9,1.0
Annual,Thousand persons,Males,Belgium,2004,123.4,412.0
Annual,Thousand persons,Males,Belgium,2005,122.3,416.0
Annual,Thousand persons,Males,Belgium,2006,130.3,387.0
Annual,Thousand persons,Males,Belgium,2007,145.2,348.0
Annual,Thousand persons,Males,Belgium,2008,143.4,354.5
Annual,Thousand persons,Males,Belgium,2009,148.3,341.0
Annual,Thousand persons,Males,Belgium,2010,160.3,313.0
Annual,Thousand persons,Males,Belgium,2011,151.6,329.0
Annual,Thousand persons,Males,Belgium,2012,161.5,309.0
Annual,Thousand persons,Males,Belgium,2013,159.9,315.5
Annual,Thousand persons,Males,Belgium,2014,163.2,306.0
Annual,Thousand persons,Males,Belgium,2015,159.9,315.5
