Index,Value,Ranking
2268,5521.61,2602.0
2269,5600.78,2594.0
2270,5792.71,2581.0
2271,5940.69,2565.0
2272,6069.29,2550.0
2273,6230.88,2523.0
2274,6283.12,2516.0
2275,6428.95,2503.0
2276,6891.12,2459.0
2277,7634.06,2405.0
2278,7854.45,2388.0
2279,8436.25,2344.0
2280,32625.51,857.0
2281,33036.71,835.0
2282,33704.63,817.0
2283,34909.61,783.0
2284,35044.43,780.0
2285,36273.24,747.0
2286,36477.99,742.0
2287,37129.12,722.0
2288,39788.21,648.0
2289,43998.96,551.0
2290,45579.46,516.0
2291,48867.05,462.0
2292,33467.89,823.0
2293,33867.13,812.0
2294,34698.6,788.0
2295,35727.48,765.0
2296,35997.46,754.0
2297,36991.13,725.0
2298,37458.48,710.0
2299,37761.01,698.0
2300,40296.95,638.0
2301,45100.93,528.0
2302,47145.51,489.0
2303,50960.23,429.0
2304,10324.33,2203.0
2305,10445.21,2194.0
2306,10628.97,2185.0
2307,10908.63,2157.0
2308,11035.08,2148.0
2309,11336.34,2127.0
2310,11376.4,2123.0
2311,11561.9,2105.0
2312,12381.34,2038.0
2313,13753.73,1921.0
2314,14272.9,1868.0
2315,15346.69,1805.0
2316,22837.58,1336.0
2317,23173.16,1318.0
2318,23665.09,1294.0
2319,24339.72,1246.0
2320,24713.37,1221.0
2321,25555.8,1179.0
2322,25787.93,1159.0
2323,26173.15,1142.0
2324,27923.91,1059.0
2325,31221.15,912.0
2326,32350.59,868.0
2327,34908.36,784.0
2328,27610.81,1068.0
2329,28022.17,1053.0
2330,28576.4,1020.0
2331,29483.37,983.0
2332,29991.76,960.0
2333,31047.4,916.0
2334,31488.06,902.0
2335,31869.08,890.0
2336,34087.85,805.0
2337,37917.29,694.0
2338,39422.02,658.0
2339,42315.47,586.0
2340,10425.71,2195.0
2341,10574.16,2189.0
2342,10819.35,2167.0
2343,11223.82,2135.0
2344,11399.63,2120.0
2345,11718.91,2091.0
2346,11853.4,2077.0
2347,11901.12,2075.0
2348,12578.57,2021.0
2349,14185.62,1881.0
2350,14915.11,1835.0
2351,16014.28,1771.0
2352,13543.65,1936.0
2353,13717.51,1925.0
2354,14095.99,1893.0
2355,14637.53,1848.0
2356,14853.46,1838.0
2357,15339.55,1806.0
2358,15563.39,1796.0
2359,15649.47,1789.0
2360,16713.98,1736.0
2361,18802.94,1614.0
2362,19736.12,1546.0
2363,21294.21,1439.0
2364,7546.47,2411.0
2365,7665.86,2402.0
2366,7911.55,2385.0
2367,8183.28,2364.0
2368,8267.35,2358.0
2369,8506.71,2339.0
2370,8684.02,2325.0
2371,8753.32,2318.0
2372,9297.52,2278.0
2373,10272.66,2205.0
2374,10649.29,2183.0
2375,11393.01,2121.0
2376,0.0,2826.5
2377,0.0,2826.5
2378,0.0,2826.5
2379,0.0,2826.5
